country,ag_water_withdrawal,ind_water_withdrawal,mun_water_withdrawal,total_water_withdrawal,withdrawal_per_capita
Algeria,4.99,0.415,3.02,8.425,225
Angola,0.1467,0.2396,0.3195,0.7058,36.79
Benin,0.059,0.03,0.041,0.13,17.53
Botswana,0.08,0.0389,0.0878,0.194,108.6
Burkina Faso,0.4207,0.0217,0.3756,0.818,57.35
Burundi,0.222,0.015,0.0431,0.288,40.22
Cabo Verde,0.025,4.00E-04,0.0016,0.022,48.31
Cameroon,0.737,0.1046,0.2468,0.9664,57.6
Central African Republic,4.00E-04,0.012,0.0601,0.0725,17.25
Chad,0.6722,0.1037,0.1037,0.8796,81.6
Comoros,0.0047,5.00E-04,0.0048,0.01,17.38
Congo,0.004,0.024,0.0637,0.046,14.12
Cªte d'Ivoire,0.5953,0.318,0.6359,1.549,82.12
Democratic Republic of the Congo,0.0719,0.1468,0.4649,0.6836,11.42
Djibouti,0.003,0,0.016,0.019,25.49
Egypt,67,2,9,78,910.6
Equatorial Guinea,0.001,0.003,0.0158,0.0174,30.65
Eritrea,0.55,0.001,0.031,0.582,132.1
Ethiopia,9.687,0.0511,0.81,10.55,106.1
Gabon,0.0403,0.0141,0.0847,0.1391,96.53
Gambia,0.0392,0.0212,0.0412,0.0905,69.19
Ghana,0.652,0.095,0.251,0.982,49.63
Guinea,0.2929,0.0562,0.2248,0.5533,60.71
Guinea-Bissau,0.144,0.0119,0.0341,0.175,127.6
Kenya,1.907,0.125,1.186,3.218,75.64
Lesotho,0.0038,0.02,0.02,0.0438,23.24
Liberia,0.0123,0.0534,0.0802,0.1308,42.59
Libya,4.85,0.28,0.7,5.83,927.9
Madagascar,13,0.1619,0.395,13.56,700
Malawi,1.166,0.0477,0.1431,1.357,100.5
Mali,5.075,0.004,0.107,5.186,376.9
Mauritania,1.223,0.0318,0.0954,1.35,405.6
Mauritius,0.491,0.02,0.214,0.725,588
Morocco,9.156,0.212,1.063,10.43,316.2
Mozambique,1.076,0.025,0.372,1.473,52.65
Namibia,0.201,0.014,0.073,0.288,147.1
Niger,0.6565,0.0137,0.0617,0.9836,67.7
Nigeria,5.51,1.965,5,12.47,74.12
Rwanda,0.102,0.0205,0.0614,0.15,17.57
