country_name,country_alpha,2015
Aruba,ABW,98.1
Afghanistan,AFG,55.3
Angola,AGO,49
Albania,ALB,95.1
Andorra,AND,100
Arab World,ARB,92.14682642
United Arab Emirates,ARE,99.6
Argentina,ARG,99.1
Armenia,ARM,100
American Samoa,ASM,100
Antigua and Barbuda,ATG,97.9
Australia,AUS,100
Austria,AUT,100
Azerbaijan,AZE,87
Burundi,BDI,75.9
Belgium,BEL,100
Benin,BEN,77.9
Burkina Faso,BFA,82.3
Bangladesh,BGD,86.9
Bulgaria,BGR,99.4
Bahrain,BHR,100
"Bahamas, The",BHS,98.4
Bosnia and Herzegovina,BIH,99.9
Belarus,BLR,99.7
Belize,BLZ,99.5
Bermuda,BMU,
Bolivia,BOL,90
Brazil,BRA,98.1
Barbados,BRB,99.7
Brunei Darussalam,BRN,
Bhutan,BTN,100
Botswana,BWA,96.2
Central African Republic,CAF,68.5
Canada,CAN,99.8
Central Europe and the Baltics,CEB,99.19246713
Switzerland,CHE,100
Channel Islands,CHI,
Chile,CHL,99
China,CHN,95.5
Cote d'Ivoire,CIV,81.9
Cameroon,CMR,75.6
"Congo, Dem. Rep.",COD,52.4
"Congo, Rep.",COG,76.5
Colombia,COL,91.4
Comoros,COM,90.1
Cabo Verde,CPV,91.7
Costa Rica,CRI,97.8
Caribbean small states,CSS,95.59790988
Cuba,CUB,94.9
Curacao,CUW,
Cayman Islands,CYM,97.4
Cyprus,CYP,100
Czech Republic,CZE,100
Germany,DEU,100
Djibouti,DJI,90
Dominica,DMA,
Denmark,DNK,100
Dominican Republic,DOM,84.7
Algeria,DZA,83.6
East Asia & Pacific (excluding high income),EAP,93.67153209
Early-demographic dividend,EAR,90.92571222
East Asia & Pacific,EAS,94.1371011
Europe & Central Asia (excluding high income),ECA,96.74875197
Europe & Central Asia,ECS,98.49060764
Ecuador,ECU,86.9
"Egypt, Arab Rep.",EGY,99.4
Euro area,EMU,99.93331675
Eritrea,ERI,57.8
Spain,ESP,100
Estonia,EST,99.6
Ethiopia,ETH,57.3
European Union,EUU,99.81713797
Fragile and conflict affected situations,FCS,67.69804191
Finland,FIN,100
Fiji,FJI,95.7
France,FRA,100
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,89
Gabon,GAB,93.2
United Kingdom,GBR,100
Georgia,GEO,100
Ghana,GHA,88.7
Gibraltar,GIB,
Guinea,GIN,76.8
"Gambia, The",GMB,90.2
Guinea-Bissau,GNB,79.3
Equatorial Guinea,GNQ,47.9
